"state","crime","incidents","victims"
"Jharkhand","Assault on Women With intent to Outrage her Modesty- Assault On Women With Intent To Outrage Her Modesty-Sec 354 IPC",151,151
"Karnataka","Assault on Women With intent to Outrage her Modesty- Assault On Women With Intent To Outrage Her Modesty-Sec 354 IPC",3711,3743
"Kerala","Assault on Women With intent to Outrage her Modesty- Assault On Women With Intent To Outrage Her Modesty-Sec 354 IPC",2277,2290
"Madhya Pradesh","Assault on Women With intent to Outrage her Modesty- Assault On Women With Intent To Outrage Her Modesty-Sec 354 IPC",4486,4488
"Maharashtra","Assault on Women With intent to Outrage her Modesty- Assault On Women With Intent To Outrage Her Modesty-Sec 354 IPC",5225,5241
"Manipur","Assault on Women With intent to Outrage her Modesty- Assault On Women With Intent To Outrage Her Modesty-Sec 354 IPC",35,35
"Meghalaya","Assault on Women With intent to Outrage her Modesty- Assault On Women With Intent To Outrage Her Modesty-Sec 354 IPC",43,43
"Mizoram","Assault on Women With intent to Outrage her Modesty- Assault On Women With Intent To Outrage Her Modesty-Sec 354 IPC",10,10
"Nagaland","Assault on Women With intent to Outrage her Modesty- Assault On Women With Intent To Outrage Her Modesty-Sec 354 IPC",2,2
"Odisha","Assault on Women With intent to Outrage her Modesty- Assault On Women With Intent To Outrage Her Modesty-Sec 354 IPC",4864,4871
"Punjab","Assault on Women With intent to Outrage her Modesty- Assault On Women With Intent To Outrage Her Modesty-Sec 354 IPC",483,484
"Rajasthan","Assault on Women With intent to Outrage her Modesty- Assault On Women With Intent To Outrage Her Modesty-Sec 354 IPC",4041,4043
"Sikkim","Assault on Women With intent to Outrage her Modesty- Assault On Women With Intent To Outrage Her Modesty-Sec 354 IPC",19,20
"Tamil Nadu","Assault on Women With intent to Outrage her Modesty- Assault On Women With Intent To Outrage Her Modesty-Sec 354 IPC",653,654
"Telangana","Assault on Women With intent to Outrage her Modesty- Assault On Women With Intent To Outrage Her Modesty-Sec 354 IPC",1484,1512
"Tripura","Assault on Women With intent to Outrage her Modesty- Assault On Women With Intent To Outrage Her Modesty-Sec 354 IPC",19,19
"Uttar Pradesh","Assault on Women With intent to Outrage her Modesty- Assault On Women With Intent To Outrage Her Modesty-Sec 354 IPC",76,76
"Uttarakhand","Assault on Women With intent to Outrage her Modesty- Assault On Women With Intent To Outrage Her Modesty-Sec 354 IPC",288,288
"West Bengal","Assault on Women With intent to Outrage her Modesty- Assault On Women With Intent To Outrage Her Modesty-Sec 354 IPC",2108,2124
"A & N Islands","Assault on Women With intent to Outrage her Modesty- Assault On Women With Intent To Outrage Her Modesty-Sec 354 IPC",24,24
"Chandigarh","Assault on Women With intent to Outrage her Modesty- Assault On Women With Intent To Outrage Her Modesty-Sec 354 IPC",29,29
"D&N Haveli","Assault on Women With intent to Outrage her Modesty- Assault On Women With Intent To Outrage Her Modesty-Sec 354 IPC",1,1
"Daman & Diu","Assault on Women With intent to Outrage her Modesty- Assault On Women With Intent To Outrage Her Modesty-Sec 354 IPC",1,1
"Delhi","Assault on Women With intent to Outrage her Modesty- Assault On Women With Intent To Outrage Her Modesty-Sec 354 IPC",1866,1874
"Lakshadweep","Assault on Women With intent to Outrage her Modesty- Assault On Women With Intent To Outrage Her Modesty-Sec 354 IPC",1,1
"Puducherry","Assault on Women With intent to Outrage her Modesty- Assault On Women With Intent To Outrage Her Modesty-Sec 354 IPC",11,11
"Andhra Pradesh","Assault on Women With intent to Outrage her Modesty- Sexual Harassment-Sec 354A IPC",1305,1312
"Arunachal Pradesh","Assault on Women With intent to Outrage her Modesty- Sexual Harassment-Sec 354A IPC",4,4
"Assam","Assault on Women With intent to Outrage her Modesty- Sexual Harassment-Sec 354A IPC",677,677
"Bihar","Assault on Women With intent to Outrage her Modesty- Sexual Harassment-Sec 354A IPC",124,124
"Chhattisgarh","Assault on Women With intent to Outrage her Modesty- Sexual Harassment-Sec 354A IPC",244,246
"Goa","Assault on Women With intent to Outrage her Modesty- Sexual Harassment-Sec 354A IPC",41,42
"Gujarat","Assault on Women With intent to Outrage her Modesty- Sexual Harassment-Sec 354A IPC",473,474
"Haryana","Assault on Women With intent to Outrage her Modesty- Sexual Harassment-Sec 354A IPC",699,700
"Himachal Pradesh","Assault on Women With intent to Outrage her Modesty- Sexual Harassment-Sec 354A IPC",114,114
"Jammu & Kashmir","Assault on Women With intent to Outrage her Modesty- Sexual Harassment-Sec 354A IPC",253,272
"Jharkhand","Assault on Women With intent to Outrage her Modesty- Sexual Harassment-Sec 354A IPC",373,373
"Karnataka","Assault on Women With intent to Outrage her Modesty- Sexual Harassment-Sec 354A IPC",703,716
"Kerala","Assault on Women With intent to Outrage her Modesty- Sexual Harassment-Sec 354A IPC",1273,1280
"Madhya Pradesh","Assault on Women With intent to Outrage her Modesty- Sexual Harassment-Sec 354A IPC",3128,3129
"Maharashtra","Assault on Women With intent to Outrage her Modesty- Sexual Harassment-Sec 354A IPC",4057,4071
"Manipur","Assault on Women With intent to Outrage her Modesty- Sexual Harassment-Sec 354A IPC",15,16
"Meghalaya","Assault on Women With intent to Outrage her Modesty- Sexual Harassment-Sec 354A IPC",20,20
"Mizoram","Assault on Women With intent to Outrage her Modesty- Sexual Harassment-Sec 354A IPC",44,44
"Nagaland","Assault on Women With intent to Outrage her Modesty- Sexual Harassment-Sec 354A IPC",6,6
"Odisha","Assault on Women With intent to Outrage her Modesty- Sexual Harassment-Sec 354A IPC",979,979
"Punjab","Assault on Women With intent to Outrage her Modesty- Sexual Harassment-Sec 354A IPC",325,325
"Rajasthan","Assault on Women With intent to Outrage her Modesty- Sexual Harassment-Sec 354A IPC",483,483
"Sikkim","Assault on Women With intent to Outrage her Modesty- Sexual Harassment-Sec 354A IPC",8,10
"Tamil Nadu","Assault on Women With intent to Outrage her Modesty- Sexual Harassment-Sec 354A IPC",115,115
"Telangana","Assault on Women With intent to Outrage her Modesty- Sexual Harassment-Sec 354A IPC",859,860
"Tripura","Assault on Women With intent to Outrage her Modesty- Sexual Harassment-Sec 354A IPC",52,52
"Uttar Pradesh","Assault on Women With intent to Outrage her Modesty- Sexual Harassment-Sec 354A IPC",9422,9425
"Uttarakhand","Assault on Women With intent to Outrage her Modesty- Sexual Harassment-Sec 354A IPC",35,35
"West Bengal","Assault on Women With intent to Outrage her Modesty- Sexual Harassment-Sec 354A IPC",663,666
"A & N Islands","Assault on Women With intent to Outrage her Modesty- Sexual Harassment-Sec 354A IPC",15,16
"Chandigarh","Assault on Women With intent to Outrage her Modesty- Sexual Harassment-Sec 354A IPC",26,26
"D&N Haveli","Assault on Women With intent to Outrage her Modesty- Sexual Harassment-Sec 354A IPC",0,0
"Daman & Diu","Assault on Women With intent to Outrage her Modesty- Sexual Harassment-Sec 354A IPC",0,0
"Delhi","Assault on Women With intent to Outrage her Modesty- Sexual Harassment-Sec 354A IPC",796,797
"Lakshadweep","Assault on Women With intent to Outrage her Modesty- Sexual Harassment-Sec 354A IPC",0,0
"Puducherry","Assault on Women With intent to Outrage her Modesty- Sexual Harassment-Sec 354A IPC",13,14
"Andhra Pradesh","Assault on Women With intent to Outrage her Modesty- Assault or use of criminal force with intent to Disrobe-Sec 354B IPC",446,448
"Arunachal Pradesh","Assault on Women With intent to Outrage her Modesty- Assault or use of criminal force with intent to Disrobe-Sec 354B IPC",3,3
"Assam","Assault on Women With intent to Outrage her Modesty- Assault or use of criminal force with intent to Disrobe-Sec 354B IPC",937,937
"Bihar","Assault on Women With intent to Outrage her Modesty- Assault or use of criminal force with intent to Disrobe-Sec 354B IPC",44,44
"Chhattisgarh","Assault on Women With intent to Outrage her Modesty- Assault or use of criminal force with intent to Disrobe-Sec 354B IPC",329,329
"Goa","Assault on Women With intent to Outrage her Modesty- Assault or use of criminal force with intent to Disrobe-Sec 354B IPC",5,5
"Gujarat","Assault on Women With intent to Outrage her Modesty- Assault or use of criminal force with intent to Disrobe-Sec 354B IPC",86,87
"Haryana","Assault on Women With intent to Outrage her Modesty- Assault or use of criminal force with intent to Disrobe-Sec 354B IPC",273,276
"Himachal Pradesh","Assault on Women With intent to Outrage her Modesty- Assault or use of criminal force with intent to Disrobe-Sec 354B IPC",10,10
"Jammu & Kashmir","Assault on Women With intent to Outrage her Modesty- Assault or use of criminal force with intent to Disrobe-Sec 354B IPC",91,91
"Jharkhand","Assault on Women With intent to Outrage her Modesty- Assault or use of criminal force with intent to Disrobe-Sec 354B IPC",129,129
"Karnataka","Assault on Women With intent to Outrage her Modesty- Assault or use of criminal force with intent to Disrobe-Sec 354B IPC",675,682
"Kerala","Assault on Women With intent to Outrage her Modesty- Assault or use of criminal force with intent to Disrobe-Sec 354B IPC",301,304
"Madhya Pradesh","Assault on Women With intent to Outrage her Modesty- Assault or use of criminal force with intent to Disrobe-Sec 354B IPC",190,190
"Maharashtra","Assault on Women With intent to Outrage her Modesty- Assault or use of criminal force with intent to Disrobe-Sec 354B IPC",400,404
"Manipur","Assault on Women With intent to Outrage her Modesty- Assault or use of criminal force with intent to Disrobe-Sec 354B IPC",9,9
"Meghalaya","Assault on Women With intent to Outrage her Modesty- Assault or use of criminal force with intent to Disrobe-Sec 354B IPC",3,3
"Mizoram","Assault on Women With intent to Outrage her Modesty- Assault or use of criminal force with intent to Disrobe-Sec 354B IPC",12,12
"Nagaland","Assault on Women With intent to Outrage her Modesty- Assault or use of criminal force with intent to Disrobe-Sec 354B IPC",5,5
"Odisha","Assault on Women With intent to Outrage her Modesty- Assault or use of criminal force with intent to Disrobe-Sec 354B IPC",2107,2117
"Punjab","Assault on Women With intent to Outrage her Modesty- Assault or use of criminal force with intent to Disrobe-Sec 354B IPC",97,97
"Rajasthan","Assault on Women With intent to Outrage her Modesty- Assault or use of criminal force with intent to Disrobe-Sec 354B IPC",230,231
"Sikkim","Assault on Women With intent to Outrage her Modesty- Assault or use of criminal force with intent to Disrobe-Sec 354B IPC",3,5
"Tamil Nadu","Assault on Women With intent to Outrage her Modesty- Assault or use of criminal force with intent to Disrobe-Sec 354B IPC",46,46
"Telangana","Assault on Women With intent to Outrage her Modesty- Assault or use of criminal force with intent to Disrobe-Sec 354B IPC",230,230
"Tripura","Assault on Women With intent to Outrage her Modesty- Assault or use of criminal force with intent to Disrobe-Sec 354B IPC",139,139
"Uttar Pradesh","Assault on Women With intent to Outrage her Modesty- Assault or use of criminal force with intent to Disrobe-Sec 354B IPC",1262,1262
"Uttarakhand","Assault on Women With intent to Outrage her Modesty- Assault or use of criminal force with intent to Disrobe-Sec 354B IPC",9,9
"West Bengal","Assault on Women With intent to Outrage her Modesty- Assault or use of criminal force with intent to Disrobe-Sec 354B IPC",1030,1044
"A & N Islands","Assault on Women With intent to Outrage her Modesty- Assault or use of criminal force with intent to Disrobe-Sec 354B IPC",1,1
"Chandigarh","Assault on Women With intent to Outrage her Modesty- Assault or use of criminal force with intent to Disrobe-Sec 354B IPC",4,4
"D&N Haveli","Assault on Women With intent to Outrage her Modesty- Assault or use of criminal force with intent to Disrobe-Sec 354B IPC",0,0
"Daman & Diu","Assault on Women With intent to Outrage her Modesty- Assault or use of criminal force with intent to Disrobe-Sec 354B IPC",0,0
"Delhi","Assault on Women With intent to Outrage her Modesty- Assault or use of criminal force with intent to Disrobe-Sec 354B IPC",625,628
"Lakshadweep","Assault on Women With intent to Outrage her Modesty- Assault or use of criminal force with intent to Disrobe-Sec 354B IPC",0,0
"Puducherry","Assault on Women With intent to Outrage her Modesty- Assault or use of criminal force with intent to Disrobe-Sec 354B IPC",6,8
"Andhra Pradesh","Assault on Women With intent to Outrage her Modesty- Voyeurism-Sec 354C IPC",83,83
"Arunachal Pradesh","Assault on Women With intent to Outrage her Modesty- Voyeurism-Sec 354C IPC",1,1
"Assam","Assault on Women With intent to Outrage her Modesty- Voyeurism-Sec 354C IPC",31,31
"Bihar","Assault on Women With intent to Outrage her Modesty- Voyeurism-Sec 354C IPC",7,7
"Chhattisgarh","Assault on Women With intent to Outrage her Modesty- Voyeurism-Sec 354C IPC",11,11
"Goa","Assault on Women With intent to Outrage her Modesty- Voyeurism-Sec 354C IPC",2,2
"Gujarat","Assault on Women With intent to Outrage her Modesty- Voyeurism-Sec 354C IPC",30,30
"Haryana","Assault on Women With intent to Outrage her Modesty- Voyeurism-Sec 354C IPC",22,22
"Himachal Pradesh","Assault on Women With intent to Outrage her Modesty- Voyeurism-Sec 354C IPC",3,3
"Jammu & Kashmir","Assault on Women With intent to Outrage her Modesty- Voyeurism-Sec 354C IPC",1,1
"Jharkhand","Assault on Women With intent to Outrage her Modesty- Voyeurism-Sec 354C IPC",1,1
"Karnataka","Assault on Women With intent to Outrage her Modesty- Voyeurism-Sec 354C IPC",36,36
"Kerala","Assault on Women With intent to Outrage her Modesty- Voyeurism-Sec 354C IPC",46,46
"Madhya Pradesh","Assault on Women With intent to Outrage her Modesty- Voyeurism-Sec 354C IPC",93,93
"Maharashtra","Assault on Women With intent to Outrage her Modesty- Voyeurism-Sec 354C IPC",127,127
"Manipur","Assault on Women With intent to Outrage her Modesty- Voyeurism-Sec 354C IPC",1,1
"Meghalaya","Assault on Women With intent to Outrage her Modesty- Voyeurism-Sec 354C IPC",1,1
"Mizoram","Assault on Women With intent to Outrage her Modesty- Voyeurism-Sec 354C IPC",1,1
"Nagaland","Assault on Women With intent to Outrage her Modesty- Voyeurism-Sec 354C IPC",0,0
"Odisha","Assault on Women With intent to Outrage her Modesty- Voyeurism-Sec 354C IPC",52,52
"Punjab","Assault on Women With intent to Outrage her Modesty- Voyeurism-Sec 354C IPC",21,21
"Rajasthan","Assault on Women With intent to Outrage her Modesty- Voyeurism-Sec 354C IPC",5,5
"Sikkim","Assault on Women With intent to Outrage her Modesty- Voyeurism-Sec 354C IPC",1,1
"Tamil Nadu","Assault on Women With intent to Outrage her Modesty- Voyeurism-Sec 354C IPC",12,12
"Telangana","Assault on Women With intent to Outrage her Modesty- Voyeurism-Sec 354C IPC",98,98
"Tripura","Assault on Women With intent to Outrage her Modesty- Voyeurism-Sec 354C IPC",0,0
"Uttar Pradesh","Assault on Women With intent to Outrage her Modesty- Voyeurism-Sec 354C IPC",92,92
"Uttarakhand","Assault on Women With intent to Outrage her Modesty- Voyeurism-Sec 354C IPC",0,0
"West Bengal","Assault on Women With intent to Outrage her Modesty- Voyeurism-Sec 354C IPC",101,101
"A & N Islands","Assault on Women With intent to Outrage her Modesty- Voyeurism-Sec 354C IPC",4,4
"Chandigarh","Assault on Women With intent to Outrage her Modesty- Voyeurism-Sec 354C IPC",2,2
"D&N Haveli","Assault on Women With intent to Outrage her Modesty- Voyeurism-Sec 354C IPC",0,0
"Daman & Diu","Assault on Women With intent to Outrage her Modesty- Voyeurism-Sec 354C IPC",0,0
"Delhi","Assault on Women With intent to Outrage her Modesty- Voyeurism-Sec 354C IPC",43,43
"Lakshadweep","Assault on Women With intent to Outrage her Modesty- Voyeurism-Sec 354C IPC",0,0
"Puducherry","Assault on Women With intent to Outrage her Modesty- Voyeurism-Sec 354C IPC",4,4
"Andhra Pradesh","Assault on Women With intent to Outrage her Modesty- Stalking-Sec 354D IPC",639,639
"Arunachal Pradesh","Assault on Women With intent to Outrage her Modesty- Stalking-Sec 354D IPC",2,2
"Assam","Assault on Women With intent to Outrage her Modesty- Stalking-Sec 354D IPC",88,88
"Bihar","Assault on Women With intent to Outrage her Modesty- Stalking-Sec 354D IPC",4,4
"Chhattisgarh","Assault on Women With intent to Outrage her Modesty- Stalking-Sec 354D IPC",71,71
"Goa","Assault on Women With intent to Outrage her Modesty- Stalking-Sec 354D IPC",19,19
"Gujarat","Assault on Women With intent to Outrage her Modesty- Stalking-Sec 354D IPC",87,87
"Haryana","Assault on Women With intent to Outrage her Modesty- Stalking-Sec 354D IPC",321,321
"Himachal Pradesh","Assault on Women With intent to Outrage her Modesty- Stalking-Sec 354D IPC",60,60
"Jammu & Kashmir","Assault on Women With intent to Outrage her Modesty- Stalking-Sec 354D IPC",7,7
"Jharkhand","Assault on Women With intent to Outrage her Modesty- Stalking-Sec 354D IPC",13,13
"Karnataka","Assault on Women With intent to Outrage her Modesty- Stalking-Sec 354D IPC",135,136
"Kerala","Assault on Women With intent to Outrage her Modesty- Stalking-Sec 354D IPC",132,132
"Madhya Pradesh","Assault on Women With intent to Outrage her Modesty- Stalking-Sec 354D IPC",820,820
"Maharashtra","Assault on Women With intent to Outrage her Modesty- Stalking-Sec 354D IPC",1587,1611
"Manipur","Assault on Women With intent to Outrage her Modesty- Stalking-Sec 354D IPC",5,5
"Meghalaya","Assault on Women With intent to Outrage her Modesty- Stalking-Sec 354D IPC",1,1
"Mizoram","Assault on Women With intent to Outrage her Modesty- Stalking-Sec 354D IPC",4,4
"Nagaland","Assault on Women With intent to Outrage her Modesty- Stalking-Sec 354D IPC",1,1
"Odisha","Assault on Women With intent to Outrage her Modesty- Stalking-Sec 354D IPC",250,250
"Punjab","Assault on Women With intent to Outrage her Modesty- Stalking-Sec 354D IPC",99,111
"Rajasthan","Assault on Women With intent to Outrage her Modesty- Stalking-Sec 354D IPC",80,80
"Sikkim","Assault on Women With intent to Outrage her Modesty- Stalking-Sec 354D IPC",3,3
"Tamil Nadu","Assault on Women With intent to Outrage her Modesty- Stalking-Sec 354D IPC",28,28
"Telangana","Assault on Women With intent to Outrage her Modesty- Stalking-Sec 354D IPC",1096,1101
"Tripura","Assault on Women With intent to Outrage her Modesty- Stalking-Sec 354D IPC",4,4
"Uttar Pradesh","Assault on Women With intent to Outrage her Modesty- Stalking-Sec 354D IPC",483,483
"Uttarakhand","Assault on Women With intent to Outrage her Modesty- Stalking-Sec 354D IPC",12,12
"West Bengal","Assault on Women With intent to Outrage her Modesty- Stalking-Sec 354D IPC",275,276
"A & N Islands","Assault on Women With intent to Outrage her Modesty- Stalking-Sec 354D IPC",2,2
"Chandigarh","Assault on Women With intent to Outrage her Modesty- Stalking-Sec 354D IPC",15,15
"D&N Haveli","Assault on Women With intent to Outrage her Modesty- Stalking-Sec 354D IPC",0,0
"Daman & Diu","Assault on Women With intent to Outrage her Modesty- Stalking-Sec 354D IPC",3,3
"Delhi","Assault on Women With intent to Outrage her Modesty- Stalking-Sec 354D IPC",835,837
"Lakshadweep","Assault on Women With intent to Outrage her Modesty- Stalking-Sec 354D IPC",0,0
"Puducherry","Assault on Women With intent to Outrage her Modesty- Stalking-Sec 354D IPC",9,10
"Andhra Pradesh","Kidnapping- Abduction- Kidnapping- Abduction-Sec 363 IPC",523,524
"Arunachal Pradesh","Kidnapping- Abduction- Kidnapping- Abduction-Sec 363 IPC",36,39
"Assam","Kidnapping- Abduction- Kidnapping- Abduction-Sec 363 IPC",504,504
"Bihar","Kidnapping- Abduction- Kidnapping- Abduction-Sec 363 IPC",750,750
"Chhattisgarh","Kidnapping- Abduction- Kidnapping- Abduction-Sec 363 IPC",1356,1420
"Goa","Kidnapping- Abduction- Kidnapping- Abduction-Sec 363 IPC",92,114
"Gujarat","Kidnapping- Abduction- Kidnapping- Abduction-Sec 363 IPC",1246,1281
"Haryana","Kidnapping- Abduction- Kidnapping- Abduction-Sec 363 IPC",132,132
"Himachal Pradesh","Kidnapping- Abduction- Kidnapping- Abduction-Sec 363 IPC",67,79
"Jammu & Kashmir","Kidnapping- Abduction- Kidnapping- Abduction-Sec 363 IPC",313,314
"Jharkhand","Kidnapping- Abduction- Kidnapping- Abduction-Sec 363 IPC",174,176
"Karnataka","Kidnapping- Abduction- Kidnapping- Abduction-Sec 363 IPC",2280,2350
"Kerala","Kidnapping- Abduction- Kidnapping- Abduction-Sec 363 IPC",75,80
"Madhya Pradesh","Kidnapping- Abduction- Kidnapping- Abduction-Sec 363 IPC",3811,3906
"Maharashtra","Kidnapping- Abduction- Kidnapping- Abduction-Sec 363 IPC",7106,7402
"Manipur","Kidnapping- Abduction- Kidnapping- Abduction-Sec 363 IPC",10,10
"Meghalaya","Kidnapping- Abduction- Kidnapping- Abduction-Sec 363 IPC",56,59
"Mizoram","Kidnapping- Abduction- Kidnapping- Abduction-Sec 363 IPC",5,6
"Nagaland","Kidnapping- Abduction- Kidnapping- Abduction-Sec 363 IPC",67,68
"Odisha","Kidnapping- Abduction- Kidnapping- Abduction-Sec 363 IPC",1593,1593
"Punjab","Kidnapping- Abduction- Kidnapping- Abduction-Sec 363 IPC",56,61
"Rajasthan","Kidnapping- Abduction- Kidnapping- Abduction-Sec 363 IPC",1166,1211
"Sikkim","Kidnapping- Abduction- Kidnapping- Abduction-Sec 363 IPC",7,7
"Tamil Nadu","Kidnapping- Abduction- Kidnapping- Abduction-Sec 363 IPC",196,199
"Telangana","Kidnapping- Abduction- Kidnapping- Abduction-Sec 363 IPC",724,736
"Tripura","Kidnapping- Abduction- Kidnapping- Abduction-Sec 363 IPC",44,47
"Uttar Pradesh","Kidnapping- Abduction- Kidnapping- Abduction-Sec 363 IPC",2533,2540
"Uttarakhand","Kidnapping- Abduction- Kidnapping- Abduction-Sec 363 IPC",108,110
"West Bengal","Kidnapping- Abduction- Kidnapping- Abduction-Sec 363 IPC",2379,2561
"A & N Islands","Kidnapping- Abduction- Kidnapping- Abduction-Sec 363 IPC",24,25
"Chandigarh","Kidnapping- Abduction- Kidnapping- Abduction-Sec 363 IPC",107,120
"D&N Haveli","Kidnapping- Abduction- Kidnapping- Abduction-Sec 363 IPC",10,10
"Daman & Diu","Kidnapping- Abduction- Kidnapping- Abduction-Sec 363 IPC",18,26
"Delhi","Kidnapping- Abduction- Kidnapping- Abduction-Sec 363 IPC",5931,6251
"Lakshadweep","Kidnapping- Abduction- Kidnapping- Abduction-Sec 363 IPC",0,0
"Puducherry","Kidnapping- Abduction- Kidnapping- Abduction-Sec 363 IPC",12,16
"Andhra Pradesh","Kidnapping- Abduction- K- A in order to Murder-Sec 364 IPC",4,4
"Arunachal Pradesh","Kidnapping- Abduction- K- A in order to Murder-Sec 364 IPC",1,1
"Assam","Kidnapping- Abduction- K- A in order to Murder-Sec 364 IPC",15,15
"Bihar","Kidnapping- Abduction- K- A in order to Murder-Sec 364 IPC",173,173
"Chhattisgarh","Kidnapping- Abduction- K- A in order to Murder-Sec 364 IPC",5,10
"Goa","Kidnapping- Abduction- K- A in order to Murder-Sec 364 IPC",0,0
"Gujarat","Kidnapping- Abduction- K- A in order to Murder-Sec 364 IPC",5,5
"Haryana","Kidnapping- Abduction- K- A in order to Murder-Sec 364 IPC",24,28
"Himachal Pradesh","Kidnapping- Abduction- K- A in order to Murder-Sec 364 IPC",5,5
"Jammu & Kashmir","Kidnapping- Abduction- K- A in order to Murder-Sec 364 IPC",8,8
"Jharkhand","Kidnapping- Abduction- K- A in order to Murder-Sec 364 IPC",35,35
"Karnataka","Kidnapping- Abduction- K- A in order to Murder-Sec 364 IPC",3,3
"Kerala","Kidnapping- Abduction- K- A in order to Murder-Sec 364 IPC",0,0
"Madhya Pradesh","Kidnapping- Abduction- K- A in order to Murder-Sec 364 IPC",10,10
"Maharashtra","Kidnapping- Abduction- K- A in order to Murder-Sec 364 IPC",14,17
"Manipur","Kidnapping- Abduction- K- A in order to Murder-Sec 364 IPC",0,0
"Meghalaya","Kidnapping- Abduction- K- A in order to Murder-Sec 364 IPC",1,1
"Mizoram","Kidnapping- Abduction- K- A in order to Murder-Sec 364 IPC",0,0
"Nagaland","Kidnapping- Abduction- K- A in order to Murder-Sec 364 IPC",0,0
"Odisha","Kidnapping- Abduction- K- A in order to Murder-Sec 364 IPC",2,2
"Punjab","Kidnapping- Abduction- K- A in order to Murder-Sec 364 IPC",14,16
"Rajasthan","Kidnapping- Abduction- K- A in order to Murder-Sec 364 IPC",0,0
"Sikkim","Kidnapping- Abduction- K- A in order to Murder-Sec 364 IPC",0,0
"Tamil Nadu","Kidnapping- Abduction- K- A in order to Murder-Sec 364 IPC",4,4
"Telangana","Kidnapping- Abduction- K- A in order to Murder-Sec 364 IPC",0,0
"Tripura","Kidnapping- Abduction- K- A in order to Murder-Sec 364 IPC",8,8
"Uttar Pradesh","Kidnapping- Abduction- K- A in order to Murder-Sec 364 IPC",803,803
"Uttarakhand","Kidnapping- Abduction- K- A in order to Murder-Sec 364 IPC",3,5
"West Bengal","Kidnapping- Abduction- K- A in order to Murder-Sec 364 IPC",61,62
"A & N Islands","Kidnapping- Abduction- K- A in order to Murder-Sec 364 IPC",1,1
"Chandigarh","Kidnapping- Abduction- K- A in order to Murder-Sec 364 IPC",0,0
"D&N Haveli","Kidnapping- Abduction- K- A in order to Murder-Sec 364 IPC",0,0
"Daman & Diu","Kidnapping- Abduction- K- A in order to Murder-Sec 364 IPC",0,0
"Delhi","Kidnapping- Abduction- K- A in order to Murder-Sec 364 IPC",0,0
"Lakshadweep","Kidnapping- Abduction- K- A in order to Murder-Sec 364 IPC",0,0
"Puducherry","Kidnapping- Abduction- K- A in order to Murder-Sec 364 IPC",0,0
"Andhra Pradesh","Kidnapping- Abduction- K- A for Ransom-Sec 364A IPC",16,18
"Arunachal Pradesh","Kidnapping- Abduction- K- A for Ransom-Sec 364A IPC",4,5
"Assam","Kidnapping- Abduction- K- A for Ransom-Sec 364A IPC",79,79
"Bihar","Kidnapping- Abduction- K- A for Ransom-Sec 364A IPC",37,37
"Chhattisgarh","Kidnapping- Abduction- K- A for Ransom-Sec 364A IPC",5,5
"Goa","Kidnapping- Abduction- K- A for Ransom-Sec 364A IPC",0,0
"Gujarat","Kidnapping- Abduction- K- A for Ransom-Sec 364A IPC",48,50
"Haryana","Kidnapping- Abduction- K- A for Ransom-Sec 364A IPC",30,30
"Himachal Pradesh","Kidnapping- Abduction- K- A for Ransom-Sec 364A IPC",1,1
"Jammu & Kashmir","Kidnapping- Abduction- K- A for Ransom-Sec 364A IPC",2,2
"Jharkhand","Kidnapping- Abduction- K- A for Ransom-Sec 364A IPC",31,31
"Karnataka","Kidnapping- Abduction- K- A for Ransom-Sec 364A IPC",66,68
"Kerala","Kidnapping- Abduction- K- A for Ransom-Sec 364A IPC",12,12
"Madhya Pradesh","Kidnapping- Abduction- K- A for Ransom-Sec 364A IPC",21,22
"Maharashtra","Kidnapping- Abduction- K- A for Ransom-Sec 364A IPC",43,44
"Manipur","Kidnapping- Abduction- K- A for Ransom-Sec 364A IPC",7,8
"Meghalaya","Kidnapping- Abduction- K- A for Ransom-Sec 364A IPC",24,31
"Mizoram","Kidnapping- Abduction- K- A for Ransom-Sec 364A IPC",0,0
"Nagaland","Kidnapping- Abduction- K- A for Ransom-Sec 364A IPC",9,10
"Odisha","Kidnapping- Abduction- K- A for Ransom-Sec 364A IPC",11,11
"Punjab","Kidnapping- Abduction- K- A for Ransom-Sec 364A IPC",12,12
"Rajasthan","Kidnapping- Abduction- K- A for Ransom-Sec 364A IPC",17,17
"Sikkim","Kidnapping- Abduction- K- A for Ransom-Sec 364A IPC",0,0
"Tamil Nadu","Kidnapping- Abduction- K- A for Ransom-Sec 364A IPC",16,17
"Telangana","Kidnapping- Abduction- K- A for Ransom-Sec 364A IPC",5,8
"Tripura","Kidnapping- Abduction- K- A for Ransom-Sec 364A IPC",0,0
"Uttar Pradesh","Kidnapping- Abduction- K- A for Ransom-Sec 364A IPC",65,67
"Uttarakhand","Kidnapping- Abduction- K- A for Ransom-Sec 364A IPC",5,5
"West Bengal","Kidnapping- Abduction- K- A for Ransom-Sec 364A IPC",68,72
"A & N Islands","Kidnapping- Abduction- K- A for Ransom-Sec 364A IPC",0,0
"Chandigarh","Kidnapping- Abduction- K- A for Ransom-Sec 364A IPC",2,2
"D&N Haveli","Kidnapping- Abduction- K- A for Ransom-Sec 364A IPC",0,0
"Daman & Diu","Kidnapping- Abduction- K- A for Ransom-Sec 364A IPC",1,1
"Delhi","Kidnapping- Abduction- K- A for Ransom-Sec 364A IPC",23,23
"Lakshadweep","Kidnapping- Abduction- K- A for Ransom-Sec 364A IPC",0,0
